,Neighbourhood,Latitude,Longitude,Venue_Name,Venue_Cat,Venue_Lat,Venue_Lng
76,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Costa Coffee,Coffee Shop,55.86218027273272,-4.25121834496696
77,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,The Coffee Pod,Coffee Shop,55.86812014286141,-4.272322220896481
78,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,278 Coffee House,Snack Place,55.86225200187609,-4.265483775075397
79,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Costa Coffee,Coffee Shop,55.85906359301788,-4.263986709147543
80,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Coffee Time,Café,55.8681441042188,-4.271021108587598
81,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Starbucks,Coffee Shop,55.861512,-4.253548
82,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Ble Coffee Stories,Café,55.857351,-4.254542
83,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,AMT Coffee,Coffee Shop,55.86233746031476,-4.251181990308605
84,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Hope & Argyle Coffee House,Coffee Shop,55.858294,-4.259526
85,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Thomson's Coffee Roasters,Coffee Shop,55.858295,-4.258469
86,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Coffee Hut,Coffee Shop,55.86963357122649,-4.244647752660702
87,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,AmPm Coffee,Café,55.86499083563402,-4.2515355499801775
88,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Coffee@Kevingrove Park,Coffee Shop,55.866916,-4.28058
89,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Exchange Coffee Shop,Café,55.859949,-4.25265
90,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Charing Cross Coffee,Café,55.86624,-4.272388
91,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Gesso Tea and Coffee Lounge,Coffee Shop,55.86677576738539,-4.271014997522088
92,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Wisdom Coffee Co,Coffee Shop,55.86540017898365,-4.27044995713106
93,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,all that is coffee,Coffee Shop,55.855847092055804,-4.247112419215576
94,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Starbucks,Coffee Shop,55.864267,-4.254371
95,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Loft Coffee co,Café,55.85407257080078,-4.255331039428711
96,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Costa Coffee,Coffee Shop,55.85456440209796,-4.276594519615173
97,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Artisan Coffee House,Café,55.8662019,-4.2787907
98,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Dear Green Coffee Roasters,Factory,55.85482937126635,-4.2494988441467285
99,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Dear Green Coffee Roaster Cafe,Café,55.8543958348209,-4.249878925644399
100,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,CC&T - Coffee Chocolate and Tea,Coffee Shop,55.863197503445775,-4.279316541086742
101,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Costa Coffee,Coffee Shop,55.861292341346456,-4.261413257561387
102,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Costa Coffee,Coffee Shop,55.857542040547806,-4.254970188020456
103,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Costa Coffee,Coffee Shop,55.86032105265371,-4.288058280944824
104,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Costa Coffee,Coffee Shop,55.86026426268171,-4.252299132794289
105,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Coffee Booth,Coffee Shop,55.86616672629012,-4.259713672148451
106,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Avenue Coffee,Coffee Shop,55.87334495274694,-4.27579341511772
107,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Costa Coffee,Coffee Shop,55.865140184858376,-4.260184559386185
108,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Coffee and Craic,Café,55.86322438468162,-4.275368654161614
109,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Atrium Coffee House,Coffee Shop,55.87639102238798,-4.29179579258957
110,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Coffee@Kevingrove Park,Coffee Shop,55.866916,-4.28058
111,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,The Coffee Pod,Coffee Shop,55.86812014286141,-4.272322220896481
112,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Costa Coffee,Coffee Shop,55.86324704916545,-4.25300732756192
113,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Gordon St Coffee,Coffee Shop,55.8604377940663,-4.257637396214358
114,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Artisan Coffee House,Café,55.8662019,-4.2787907
115,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Coffee Time,Café,55.8681441042188,-4.271021108587598
116,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Charing Cross Coffee,Café,55.86624,-4.272388
117,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Costa Coffee,Coffee Shop,55.85953405574411,-4.258189281886999
118,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Costa Coffee,Coffee Shop,55.861297481549535,-4.255244325913771
119,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Gesso Tea and Coffee Lounge,Coffee Shop,55.86677576738539,-4.271014997522088
120,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,The Coffee Loft,Café,55.86601007538728,-4.260964846233415
121,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Wisdom Coffee Co,Coffee Shop,55.86540017898365,-4.27044995713106
122,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Black Pine Coffee Co,Coffee Shop,55.87582,-4.282449
123,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Coffee Republic,Coffee Shop,55.863084,-4.256328
124,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Coffee Republic,Coffee Shop,55.862611,-4.25486
125,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Costa Coffee,Coffee Shop,55.85906359301788,-4.263986709147543
126,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Coffee Studios,Design Studio,55.87537102396548,-4.291942119598389
127,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,coffee patisserie,Café,55.873587,-4.29561
128,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Coffee Republic,Coffee Shop,55.86512521835102,-4.253965627237335
129,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Coffee @ 291,Café,55.87605,-4.292855
130,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,278 Coffee House,Snack Place,55.86225200187609,-4.265483775075397
131,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Costa Coffee,Coffee Shop,55.85456440209796,-4.276594519615173
132,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Riverhill Coffee Bar,Coffee Shop,55.86051963464954,-4.2557558365637425
133,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Commotion Coffee Bar,Café,55.86618166848334,-4.260096292820151
134,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,AMT Coffee,Coffee Shop,55.85919828104176,-4.258298764931011
135,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Big Mouth Coffee Company,Café,55.870773296659785,-4.300748060763789
136,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Sippa Coffee,Café,55.8629146024598,-4.260738212596522
137,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Costa Coffee,Coffee Shop,55.86487154668423,-4.258559806854746
138,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Starbucks,Coffee Shop,55.861512,-4.253548
139,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Ble Coffee Stories,Café,55.857351,-4.254542
140,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Tapa Coffee House,Café,55.87525,-4.2817965
141,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Aroma Coffee Bar,Café,55.86624967927589,-4.297616762177947
142,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,S'mug Coffee Bar,Coffee Shop,55.875491221427744,-4.292478643793263
143,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Hope & Argyle Coffee House,Coffee Shop,55.858294,-4.259526
144,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Thomson's Coffee Roasters,Coffee Shop,55.858295,-4.258469
145,"Anderston, Finnieston, Garnethill, Park, Woodlands (part), Yorkhill",55.8644,-4.2780000000000005,Mr George Coffee Company,Coffee Shop,55.871493,-4.298154
